customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalChargesPerTenure,TenureGroup,MonthlyChargePerTenure,ChurnNumeric,ServiceCount,MonthlyChargePerService,TotalServiceCount,MonthlyChargePerTotalService,ServiceDensity,TotalChargesPerService
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,77.13695652173914,2-4 Years,1.626086956521739,0,3,24.933333333333334,4,18.7,0.0869565217391304,887.075
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,104.38970588235294,2-4 Years,3.127941176470588,1,7,15.19285714285714,8,13.29375,0.2352941176470588,443.65625
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,100.4909090909091,0-1 Year,8.895454545454545,1,6,16.308333333333334,7,13.978571428571428,0.6363636363636364,157.91428571428574
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,47.57,0-1 Year,4.955,0,3,16.516666666666666,4,12.3875,0.4,118.925
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,69.605,5-6 Years,0.9885714285714288,0,6,11.533333333333331,7,9.885714285714286,0.1,696.0500000000001
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,24.602941176470587,1-2 Years,1.2205882352941178,0,1,20.75,1,20.75,0.0588235294117647,418.25
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,77.16587301587302,5-6 Years,1.2674603174603174,0,8,9.98125,9,8.872222222222222,0.1428571428571428,540.161111111111
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,75.49615384615385,1-2 Years,5.861538461538462,0,7,10.885714285714286,8,9.525,0.6153846153846154,122.68125
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,79.72857142857143,4-5 Years,1.7244897959183674,0,4,21.125,5,16.9,0.1020408163265306,781.3399999999999
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,48.5,0-1 Year,24.625,0,3,16.416666666666668,4,12.3125,2.0,24.25
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,72.075,0-1 Year,40.325,1,3,26.883333333333336,4,20.1625,2.0,36.0375
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,81.11153846153846,4-5 Years,1.5336538461538465,0,7,11.392857142857142,8,9.96875,0.1538461538461538,527.225
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,61.6536231884058,5-6 Years,0.9297101449275365,0,6,10.691666666666668,7,9.164285714285716,0.1014492753623188,607.7285714285715
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,89.27325581395348,2-4 Years,2.0988372093023258,0,5,18.05,6,15.041666666666666,0.1395348837209302,639.7916666666666
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,95.09333333333333,1-2 Years,6.6066666666666665,1,6,16.516666666666666,7,14.157142857142857,0.4666666666666667,203.77142857142857
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,70.10600000000001,2-4 Years,2.78,0,6,11.583333333333334,7,9.928571428571429,0.28,250.37857142857143
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,79.1625,0-1 Year,10.08125,1,4,20.1625,5,16.130000000000003,0.625,126.66
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,74.27250000000001,4-5 Years,1.2474999999999998,0,7,10.69285714285714,8,9.35625,0.1333333333333333,557.04375
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,97.36388888888888,1-2 Years,5.302777777777778,1,5,19.09,6,15.908333333333331,0.3333333333333333,292.09166666666664
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,100.17777777777778,5-6 Years,1.581746031746032,0,6,16.608333333333334,7,14.235714285714286,0.1111111111111111,901.6
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,107.21742424242424,5-6 Years,1.6431818181818183,0,8,13.55625,9,12.05,0.1363636363636363,786.2611111111112
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,26.302941176470586,2-4 Years,0.7338235294117647,0,2,12.475,2,12.475,0.0588235294117647,447.15
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,109.07916666666667,5-6 Years,1.4930555555555556,0,7,15.357142857142858,8,13.4375,0.1111111111111111,981.7125
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,100.15106382978725,2-4 Years,2.1382978723404253,0,6,16.75,7,14.357142857142858,0.1489361702127659,672.4428571428572
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,90.845,4-5 Years,1.4983333333333335,0,5,17.98,6,14.983333333333334,0.1,908.4499999999999
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,41.138888888888886,5-6 Years,0.5847222222222223,0,4,10.525,5,8.42,0.0694444444444444,592.4
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,53.172222222222224,1-2 Years,3.022222222222222,0,4,13.6,5,10.88,0.2777777777777778,191.42000000000002
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,95.25,0-1 Year,10.488888888888887,1,5,18.880000000000003,6,15.733333333333334,0.6666666666666666,142.875
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,81.36666666666666,0-1 Year,25.1,0,6,12.55,7,10.757142857142856,2.333333333333333,34.871428571428574
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,77.66702127659575,2-4 Years,1.6787234042553192,0,4,19.725,5,15.78,0.1063829787234042,730.0699999999999
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,80.55483870967741,2-4 Years,2.55483870967742,0,7,11.314285714285717,8,9.9,0.2580645161290322,312.15
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,18.618,4-5 Years,0.4029999999999999,0,1,20.15,1,20.15,0.02,930.9
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,88.735,0-1 Year,7.984999999999999,0,4,19.9625,5,15.97,0.5,177.47
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,49.05,0-1 Year,49.05,0,3,16.349999999999998,4,12.2625,4.0,12.2625
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,20.974038461538463,4-5 Years,0.3923076923076923,0,1,20.4,1,20.4,0.0192307692307692,1090.65
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,110.921875,5-6 Years,1.74375,0,8,13.95,9,12.4,0.140625,788.7777777777778
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,22.97741935483871,5-6 Years,0.3911290322580645,0,2,12.125,2,12.125,0.032258064516129,712.3
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,59.13333333333333,0-1 Year,21.5,0,5,12.9,6,10.75,2.0,29.566666666666666
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,109.63392857142857,4-5 Years,1.9732142857142856,0,8,13.8125,9,12.27777777777778,0.1607142857142857,682.1666666666666
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,58.45326086956521,2-4 Years,1.2097826086956522,0,3,18.55,4,13.9125,0.0869565217391304,672.2125
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,60.28125,0-1 Year,6.83125,0,4,13.6625,5,10.93,0.625,96.45
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,70.37666666666668,2-4 Years,2.4916666666666667,0,6,12.458333333333334,7,10.678571428571429,0.2333333333333333,301.61428571428576
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,27.035555555555554,2-4 Years,0.5755555555555555,0,2,12.95,2,12.95,0.0444444444444444,608.3
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,79.35,0-1 Year,79.35,1,3,26.45,4,19.8375,4.0,19.8375
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,51.39545454545455,0-1 Year,4.595454545454545,0,4,12.6375,5,10.11,0.4545454545454545,113.07000000000001
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,70.98571428571428,0-1 Year,10.735714285714286,1,3,25.05,4,18.7875,0.5714285714285714,124.225
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,103.03571428571429,2-4 Years,2.4714285714285715,0,7,14.828571428571427,8,12.975,0.1904761904761904,540.9375
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,19.864285714285714,4-5 Years,0.4112244897959183,0,1,20.15,1,20.15,0.0204081632653061,973.35
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,102.08333333333333,0-1 Year,11.033333333333331,0,6,16.55,7,14.185714285714283,0.7777777777777778,131.25
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,63.29857142857142,2-4 Years,1.7757142857142856,0,4,15.5375,5,12.43,0.1428571428571428,443.09
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,22.020833333333332,2-4 Years,0.4302083333333333,0,1,20.65,1,20.65,0.0208333333333333,1057.0
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,20.15434782608696,2-4 Years,0.433695652173913,0,1,19.95,1,19.95,0.0217391304347826,927.1
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,34.80172413793103,2-4 Years,1.1637931034482758,0,2,16.875,3,11.25,0.1034482758620689,336.4166666666667
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,85.67333333333333,2-4 Years,2.735,0,4,20.5125,5,16.41,0.1666666666666666,514.04
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,74.7,0-1 Year,74.7,0,3,24.9,4,18.675,4.0,18.675
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,86.57954545454545,5-6 Years,1.2727272727272727,0,8,10.5,9,9.333333333333334,0.1363636363636363,634.9166666666666
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,109.33846153846154,5-6 Years,1.7084615384615385,0,8,13.88125,9,12.338888888888889,0.1384615384615384,789.6666666666666
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,103.59791666666666,5-6 Years,1.401388888888889,0,7,14.414285714285716,8,12.6125,0.1111111111111111,932.38125
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,77.27916666666667,0-1 Year,6.579166666666667,1,4,19.7375,5,15.79,0.4166666666666667,185.47
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,66.8830985915493,5-6 Years,0.941549295774648,0,6,11.141666666666666,7,9.55,0.0985915492957746,678.3857142857142
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,22.77,0-1 Year,4.21,1,1,21.05,1,21.05,0.2,113.85
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,21.292307692307695,4-5 Years,0.4038461538461538,0,1,21.0,1,21.0,0.0192307692307692,1107.2
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,100.58,2-4 Years,3.94,1,6,16.416666666666668,7,14.071428571428571,0.28,359.2142857142857
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,20.2,0-1 Year,20.2,0,1,20.2,1,20.2,1.0,20.2
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,19.45,0-1 Year,19.45,0,1,19.45,1,19.45,1.0,19.45
