customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalChargesPerTenure,TenureGroup,MonthlyChargePerTenure,ChurnNumeric,ServiceCount,MonthlyChargePerService,TotalServiceCount,MonthlyChargePerTotalService,ServiceDensity
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,19.672115384615385,4-5 Years,0.3971153846153846,0,1,20.65,1,20.65,0.019230769230769232
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,103.97535211267606,5-6 Years,1.5028169014084507,0,7,15.242857142857144,8,13.3375,0.11267605633802817
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,52.835,0-1 Year,5.5200000000000005,1,4,13.8,5,11.040000000000001,0.5
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,88.70952380952382,1-2 Years,4.288095238095238,0,5,18.009999999999998,6,15.008333333333333,0.2857142857142857
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,39.65,0-1 Year,39.65,1,3,13.216666666666667,4,9.9125,4.0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,16.854166666666668,0-1 Year,1.65,0,1,19.8,1,19.8,0.08333333333333333
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,20.15,0-1 Year,20.15,1,1,20.15,1,20.15,1.0
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,60.43275862068965,4-5 Years,1.032758620689655,0,5,11.98,6,9.983333333333333,0.10344827586206896
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,60.61836734693878,4-5 Years,1.2163265306122448,0,5,11.92,6,9.933333333333334,0.12244897959183673
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,51.02,2-4 Years,1.8433333333333333,0,4,13.825,5,11.059999999999999,0.16666666666666666
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,101.04574468085106,2-4 Years,2.1138297872340424,1,6,16.558333333333334,7,14.192857142857141,0.14893617021276595
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,30.2,0-1 Year,30.2,1,2,15.1,3,10.066666666666666,3.0
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,88.46458333333334,5-6 Years,1.2534722222222223,0,9,10.027777777777779,10,9.025,0.1388888888888889
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,64.3,1-2 Years,3.8058823529411767,1,4,16.175,5,12.940000000000001,0.29411764705882354
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,95.30915492957746,5-6 Years,1.3570422535211266,0,7,13.764285714285714,8,12.04375,0.11267605633802817
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,90.825,0-1 Year,47.75,0,5,19.1,6,15.916666666666666,3.0
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,69.42407407407407,2-4 Years,2.45,0,6,11.025,7,9.450000000000001,0.25925925925925924
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,20.2,0-1 Year,20.2,0,1,20.2,1,20.2,1.0
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,45.25,0-1 Year,45.25,0,2,22.625,3,15.083333333333334,3.0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,100.71805555555557,5-6 Years,1.3875000000000002,0,7,14.271428571428572,8,12.4875,0.1111111111111111
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,63.38,0-1 Year,13.94,1,2,34.85,3,23.233333333333334,0.6
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,77.13695652173914,2-4 Years,1.626086956521739,0,3,24.933333333333334,4,18.7,0.08695652173913043
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,104.38970588235294,2-4 Years,3.127941176470588,1,7,15.192857142857141,8,13.29375,0.23529411764705882
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,100.4909090909091,0-1 Year,8.895454545454545,1,6,16.308333333333334,7,13.978571428571428,0.6363636363636364
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,47.57,0-1 Year,4.955,0,3,16.516666666666666,4,12.3875,0.4
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,69.605,5-6 Years,0.9885714285714288,0,6,11.533333333333333,7,9.885714285714286,0.1
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,24.602941176470587,1-2 Years,1.2205882352941178,0,1,20.75,1,20.75,0.058823529411764705
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,77.16587301587302,5-6 Years,1.2674603174603174,0,8,9.98125,9,8.872222222222222,0.14285714285714285
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,75.49615384615385,1-2 Years,5.861538461538462,0,7,10.885714285714286,8,9.525,0.6153846153846154
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,79.72857142857143,4-5 Years,1.7244897959183674,0,4,21.125,5,16.9,0.10204081632653061
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,48.5,0-1 Year,24.625,0,3,16.416666666666668,4,12.3125,2.0
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,72.075,0-1 Year,40.325,1,3,26.883333333333336,4,20.1625,2.0
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,81.11153846153846,4-5 Years,1.5336538461538465,0,7,11.392857142857142,8,9.96875,0.15384615384615385
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,61.6536231884058,5-6 Years,0.9297101449275365,0,6,10.691666666666668,7,9.164285714285715,0.10144927536231885
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,89.27325581395348,2-4 Years,2.0988372093023258,0,5,18.05,6,15.041666666666666,0.13953488372093023
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,95.09333333333332,1-2 Years,6.6066666666666665,1,6,16.516666666666666,7,14.157142857142857,0.4666666666666667
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,70.10600000000001,2-4 Years,2.78,0,6,11.583333333333334,7,9.928571428571429,0.28
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,79.1625,0-1 Year,10.08125,1,4,20.1625,5,16.130000000000003,0.625
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,74.27250000000001,4-5 Years,1.2474999999999998,0,7,10.692857142857141,8,9.35625,0.13333333333333333
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,97.36388888888888,1-2 Years,5.302777777777778,1,5,19.09,6,15.908333333333333,0.3333333333333333
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,100.17777777777778,5-6 Years,1.581746031746032,0,6,16.608333333333334,7,14.235714285714286,0.1111111111111111
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,107.21742424242424,5-6 Years,1.6431818181818183,0,8,13.55625,9,12.05,0.13636363636363635
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,26.302941176470583,2-4 Years,0.7338235294117647,0,2,12.475,2,12.475,0.058823529411764705
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,109.07916666666668,5-6 Years,1.4930555555555556,0,7,15.357142857142858,8,13.4375,0.1111111111111111
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,100.15106382978723,2-4 Years,2.1382978723404253,0,6,16.75,7,14.357142857142858,0.14893617021276595
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,90.845,4-5 Years,1.4983333333333335,0,5,17.98,6,14.983333333333334,0.1
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,41.138888888888886,5-6 Years,0.5847222222222223,0,4,10.525,5,8.42,0.06944444444444445
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,53.172222222222224,1-2 Years,3.022222222222222,0,4,13.6,5,10.879999999999999,0.2777777777777778
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,95.25,0-1 Year,10.488888888888887,1,5,18.880000000000003,6,15.733333333333334,0.6666666666666666
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,81.36666666666666,0-1 Year,25.1,0,6,12.549999999999999,7,10.757142857142856,2.3333333333333335
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,77.66702127659575,2-4 Years,1.6787234042553192,0,4,19.725,5,15.780000000000001,0.10638297872340426
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,80.55483870967741,2-4 Years,2.55483870967742,0,7,11.314285714285715,8,9.9,0.25806451612903225
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,18.618,4-5 Years,0.4029999999999999,0,1,20.15,1,20.15,0.02
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,88.735,0-1 Year,7.984999999999999,0,4,19.9625,5,15.969999999999999,0.5
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,49.05,0-1 Year,49.05,0,3,16.349999999999998,4,12.2625,4.0
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,20.974038461538463,4-5 Years,0.3923076923076923,0,1,20.4,1,20.4,0.019230769230769232
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,110.921875,5-6 Years,1.74375,0,8,13.95,9,12.399999999999999,0.140625
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,22.97741935483871,5-6 Years,0.3911290322580645,0,2,12.125,2,12.125,0.03225806451612903
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,59.13333333333333,0-1 Year,21.5,0,5,12.9,6,10.75,2.0
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,109.63392857142856,4-5 Years,1.9732142857142856,0,8,13.8125,9,12.277777777777779,0.16071428571428573
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,58.45326086956521,2-4 Years,1.2097826086956522,0,3,18.55,4,13.9125,0.08695652173913043
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,60.28125,0-1 Year,6.83125,0,4,13.6625,5,10.93,0.625
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,70.37666666666668,2-4 Years,2.4916666666666667,0,6,12.458333333333334,7,10.678571428571429,0.23333333333333334
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,27.035555555555558,2-4 Years,0.5755555555555555,0,2,12.95,2,12.95,0.044444444444444446
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,79.35,0-1 Year,79.35,1,3,26.45,4,19.8375,4.0
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,51.39545454545455,0-1 Year,4.595454545454545,0,4,12.6375,5,10.11,0.45454545454545453
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,70.98571428571428,0-1 Year,10.735714285714286,1,3,25.05,4,18.7875,0.5714285714285714
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,103.03571428571428,2-4 Years,2.4714285714285715,0,7,14.828571428571427,8,12.975,0.19047619047619047
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,19.864285714285717,4-5 Years,0.4112244897959183,0,1,20.15,1,20.15,0.02040816326530612
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,102.08333333333331,0-1 Year,11.033333333333331,0,6,16.55,7,14.185714285714285,0.7777777777777778
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,63.29857142857142,2-4 Years,1.7757142857142856,0,4,15.5375,5,12.43,0.14285714285714285
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,22.02083333333333,2-4 Years,0.4302083333333333,0,1,20.65,1,20.65,0.020833333333333332
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,20.15434782608696,2-4 Years,0.433695652173913,0,1,19.95,1,19.95,0.021739130434782608
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,34.80172413793103,2-4 Years,1.1637931034482758,0,2,16.875,3,11.25,0.10344827586206896
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,85.67333333333333,2-4 Years,2.735,0,4,20.5125,5,16.41,0.16666666666666666
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,74.7,0-1 Year,74.7,0,3,24.900000000000002,4,18.675,4.0
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,86.57954545454545,5-6 Years,1.2727272727272727,0,8,10.5,9,9.333333333333334,0.13636363636363635
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,109.33846153846154,5-6 Years,1.7084615384615385,0,8,13.88125,9,12.338888888888889,0.13846153846153847
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,103.59791666666666,5-6 Years,1.401388888888889,0,7,14.414285714285715,8,12.6125,0.1111111111111111
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,77.27916666666667,0-1 Year,6.579166666666667,1,4,19.7375,5,15.790000000000001,0.4166666666666667
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,66.8830985915493,5-6 Years,0.941549295774648,0,6,11.141666666666666,7,9.549999999999999,0.09859154929577464
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,22.77,0-1 Year,4.21,1,1,21.05,1,21.05,0.2
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,21.29230769230769,4-5 Years,0.4038461538461538,0,1,21.0,1,21.0,0.019230769230769232
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,100.58,2-4 Years,3.94,1,6,16.416666666666668,7,14.071428571428571,0.28
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,20.2,0-1 Year,20.2,0,1,20.2,1,20.2,1.0
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,19.45,0-1 Year,19.45,0,1,19.45,1,19.45,1.0
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,94.88421052631578,2-4 Years,2.5,0,6,15.833333333333334,7,13.571428571428571,0.18421052631578946
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,45.86742424242424,5-6 Years,0.6901515151515151,0,4,11.3875,5,9.11,0.07575757575757576
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,111.93897058823528,5-6 Years,1.6176470588235294,1,8,13.75,9,12.222222222222221,0.1323529411764706
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,20.04,0-1 Year,4.86,0,1,24.3,2,12.15,0.4
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,101.43125,5-6 Years,1.446527777777778,0,7,14.87857142857143,8,13.01875,0.1111111111111111
